date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1999-01-13,2920.96,2928.97,2950.2,2906.85,3344106.0,2445833984.0,1.48,-0.11,-3.33,0.01
1999-01-14,2925.47,2930.73,2958.0,2916.53,2761737.0,2160963072.0,1.42,0.06,1.76,0.01
1999-01-15,2932.21,2903.9,2939.94,2899.17,3395513.0,2566080000.0,1.39,-0.92,-26.83,0.01
1999-01-18,2901.1,2960.16,2961.69,2882.25,3812982.0,3002074112.0,2.74,1.94,56.26,0.02
1999-01-19,2968.44,2966.67,2982.48,2942.05,3575308.0,3178042112.0,1.37,0.22,6.51,0.02
1999-01-20,2967.72,2939.91,2986.32,2933.12,3287009.0,2398426112.0,1.79,-0.9,-26.76,0.01
1999-01-21,2931.5,2954.02,2955.63,2923.92,3761621.0,2552780032.0,1.08,0.48,14.11,0.02
1999-01-22,2961.6,2972.79,2986.31,2953.61,3986286.0,3001444096.0,1.11,0.64,18.77,0.02
1999-01-25,2979.02,2934.34,2985.77,2931.14,6260379.0,3160227072.0,1.84,-1.29,-38.45,0.03
1999-01-26,2924.52,2909.66,2938.28,2896.94,4966000.0,2474189056.0,1.41,-0.84,-24.68,0.02
1999-01-27,2907.53,2934.19,2941.75,2901.63,15118204.0,4054476032.0,1.38,0.84,24.53,0.07
1999-01-28,2937.15,2912.18,2939.37,2900.75,7222858.0,3329988096.0,1.32,-0.75,-22.01,0.03
1999-01-29,2912.96,2920.39,2940.27,2894.84,4738549.0,2718820096.0,1.56,0.28,8.21,0.02
1999-02-01,2917.94,2911.52,2942.33,2902.15,5106612.0,2982272000.0,1.38,-0.3,-8.87,0.02
1999-02-02,2907.3,2912.59,2916.7,2882.17,4606889.0,2486512128.0,1.19,0.04,1.07,0.02
1999-02-03,2912.07,2884.71,2918.18,2880.07,3979120.0,2225403904.0,1.31,-0.96,-27.88,0.02
1999-02-04,2878.37,2823.64,2878.37,2822.3,3498883.0,2023025024.0,1.94,-2.12,-61.07,0.02
1999-02-05,2811.55,2756.67,2811.55,2749.04,4084148.0,2353693952.0,2.21,-2.37,-66.97,0.02
1999-02-08,2731.38,2702.93,2765.51,2698.16,3399272.0,1927800960.0,2.44,-1.95,-53.74,0.01
1999-02-09,2705.54,2755.3,2758.78,2705.54,3234825.0,1891100032.0,1.97,1.94,52.37,0.01
1999-03-01,2760.55,2790.68,2798.47,2744.16,2622184.0,1608635008.0,1.97,1.28,35.38,0.01
1999-03-02,2791.59,2781.87,2805.05,2751.82,3106758.0,1874792960.0,1.91,-0.32,-8.81,0.01
1999-03-03,2776.93,2833.28,2833.98,2770.44,4855190.0,2651880960.0,2.28,1.85,51.41,0.02
1999-03-04,2834.3,2833.85,2844.55,2809.6,4435072.0,2735248896.0,1.23,0.02,0.57,0.02
1999-03-05,2832.5,2867.35,2893.28,2831.4,5015071.0,3189906944.0,2.18,1.18,33.5,0.02
1999-03-08,2867.38,2886.94,2887.24,2849.81,5215109.0,3300924928.0,1.31,0.68,19.59,0.02
1999-03-09,2890.16,2876.78,2907.14,2876.09,4695460.0,3348443136.0,1.08,-0.35,-10.16,0.02
1999-03-10,2874.46,2855.34,2874.46,2840.39,4223288.0,3035016960.0,1.18,-0.75,-21.44,0.02
1999-03-11,2848.24,2906.68,2919.72,2848.24,5664914.0,4055045120.0,2.5,1.8,51.34,0.02
1999-03-12,2910.84,2928.79,2933.4,2899.93,5508574.0,3999132928.0,1.15,0.76,22.11,0.02
1999-03-15,2932.72,2926.3,2944.62,2914.54,6292566.0,4713341952.0,1.03,-0.09,-2.49,0.03
1999-03-16,2922.67,2910.47,2923.41,2892.24,5225357.0,3690525952.0,1.07,-0.54,-15.83,0.02
1999-03-17,2910.98,2901.81,2939.83,2900.66,6955372.0,4540563968.0,1.35,-0.3,-8.66,0.03
1999-03-18,2894.88,2871.11,2898.46,2867.17,5836007.0,3810870016.0,1.08,-1.06,-30.7,0.03
1999-03-19,2872.15,2902.28,2904.7,2862.31,5475416.0,4217758976.0,1.48,1.09,31.17,0.02
1999-03-22,2907.64,2891.43,2913.03,2882.19,6773479.0,4988420096.0,1.06,-0.37,-10.85,0.03
1999-03-23,2889.3,2902.8,2904.19,2863.89,8335635.0,4006801920.0,1.39,0.39,11.37,0.04
1999-03-24,2906.07,2915.17,2949.29,2906.07,5538592.0,3712089088.0,1.49,0.43,12.37,0.02
1999-03-25,2910.77,2872.62,2910.77,2869.64,4639196.0,3732536064.0,1.41,-1.46,-42.55,0.02
1999-03-26,2868.89,2874.28,2887.38,2862.41,4530254.0,3218671104.0,0.87,0.06,1.66,0.02
1999-03-29,2870.0,2906.88,2907.34,2863.16,4825499.0,3552889088.0,1.54,1.13,32.6,0.02
1999-03-30,2908.86,2868.29,2922.37,2864.33,4420768.0,3257656064.0,2.0,-1.33,-38.59,0.02
1999-03-31,2863.33,2872.15,2878.88,2849.68,4100314.0,3283471872.0,1.02,0.13,3.86,0.02
1999-04-01,2870.92,2877.18,2888.43,2859.46,5366213.0,4264403968.0,1.01,0.18,5.03,0.02
1999-04-02,2883.51,2908.89,2911.79,2876.25,6204211.0,4686572032.0,1.24,1.1,31.71,0.03
1999-04-05,2914.4,2942.62,2943.34,2911.96,6129863.0,4850449920.0,1.08,1.16,33.73,0.03
1999-04-06,2946.87,2928.82,2948.04,2920.87,5558855.0,4305796096.0,0.92,-0.47,-13.8,0.02
1999-04-07,2928.99,2949.41,2954.12,2925.54,6771531.0,4712391168.0,0.98,0.7,20.59,0.03
1999-04-08,2956.99,2983.84,2984.65,2938.76,6834507.0,4803848192.0,1.56,1.17,34.43,0.03
1999-04-09,2983.73,2956.14,2987.41,2952.68,8136256.0,5283279872.0,1.16,-0.93,-27.7,0.04
1999-04-12,2954.06,2930.65,2956.52,2914.4,11079690.0,5749804032.0,1.42,-0.86,-25.49,0.05
1999-04-13,2927.61,2903.56,2948.51,2897.22,7841943.0,4394124800.0,1.75,-0.92,-27.09,0.03
1999-04-14,2902.87,2906.15,2917.42,2887.5,6101337.0,3741325056.0,1.03,0.09,2.59,0.03
1999-04-15,2905.69,2864.24,2907.77,2863.26,11083416.0,4889184256.0,1.53,-1.44,-41.91,0.05
1999-04-16,2860.62,2854.11,2885.64,2837.39,8775153.0,4237050112.0,1.68,-0.35,-10.13,0.04
1999-04-19,2849.24,2846.81,2868.69,2832.84,7942174.0,3973361920.0,1.26,-0.26,-7.3,0.04
