date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1991-04-22,116.63,116.63,117.08,116.58,430.0,321000.0,0.43,-0.38,-0.45,0.0
1991-04-23,116.21,116.19,116.63,116.15,282.0,264000.0,0.41,-0.38,-0.44,0.0
1991-04-24,115.7,115.79,116.19,115.7,148.0,121000.0,0.42,-0.34,-0.4,0.0
1991-04-25,115.38,115.36,115.79,115.33,1495.0,998000.0,0.4,-0.37,-0.43,0.0
1991-04-26,116.31,115.56,116.31,114.52,13354.0,5806000.0,1.55,0.17,0.2,0.0
1991-04-29,114.86,114.75,116.29,114.75,8411.0,3610000.0,1.33,-0.7,-0.81,0.0
1991-04-30,113.89,113.94,114.87,113.89,4850.0,2734000.0,0.85,-0.71,-0.81,0.0
1991-05-02,113.04,113.16,113.2,113.03,1465.0,1124000.0,0.15,-0.68,-0.78,0.0
1991-05-03,112.46,112.41,113.17,112.3,4230.0,2386000.0,0.77,-0.66,-0.75,0.0
1991-05-06,111.65,111.61,112.41,111.57,2764.0,1423000.0,0.75,-0.71,-0.8,0.0
1991-05-07,110.8,110.82,110.9,110.8,1875.0,907000.0,0.09,-0.71,-0.79,0.0
1991-05-08,110.16,110.03,110.82,110.0,423.0,375000.0,0.74,-0.71,-0.79,0.0
1991-05-09,109.36,109.29,110.12,109.29,2255.0,1220000.0,0.75,-0.67,-0.74,0.0
1991-05-10,108.61,108.53,109.4,108.53,249.0,313000.0,0.8,-0.7,-0.76,0.0
1991-05-13,107.88,107.84,107.88,107.74,235.0,182000.0,0.13,-0.64,-0.69,0.0
1991-05-14,107.21,107.19,107.84,107.06,267.0,185000.0,0.72,-0.6,-0.65,0.0
1991-05-15,106.56,106.57,106.6,106.42,390.0,307000.0,0.17,-0.58,-0.62,0.0
1991-05-16,105.83,105.77,105.86,105.69,3108.0,1445000.0,0.16,-0.75,-0.8,0.0
1991-05-17,105.12,106.75,106.75,104.96,20192.0,7633000.0,1.69,0.93,0.98,0.0
1991-05-20,107.76,107.82,107.82,106.71,863.0,924000.0,1.04,1.0,1.07,0.0
1991-05-21,108.89,108.81,108.89,108.62,771.0,1309000.0,0.25,0.92,0.99,0.0
1991-05-22,109.71,108.25,109.82,108.11,18677.0,7967000.0,1.57,-0.51,-0.56,0.0
1991-05-23,107.52,109.08,109.16,107.35,5609.0,2770000.0,1.67,0.77,0.83,0.0
1991-05-24,110.07,110.08,110.08,109.82,1024.0,661000.0,0.24,0.92,1.0,0.0
1991-05-27,111.05,110.66,111.07,109.47,8619.0,3827000.0,1.45,0.53,0.58,0.0
1991-05-28,111.61,111.68,111.68,111.36,1630.0,970000.0,0.29,0.92,1.02,0.0
1991-05-29,112.75,112.75,112.75,111.67,530.0,1320000.0,0.97,0.96,1.07,0.0
1991-05-30,113.74,113.82,113.82,112.77,388.0,753000.0,0.93,0.95,1.07,0.0
1991-05-31,114.83,114.83,114.83,113.84,1211.0,1470000.0,0.87,0.89,1.01,0.0
1991-06-03,115.9,115.97,115.97,114.89,954.0,1643000.0,0.94,0.99,1.14,0.0
1991-06-04,117.12,117.12,117.12,116.83,3603.0,2018000.0,0.25,0.99,1.15,0.0
1991-06-05,118.17,118.17,118.17,117.14,308.0,279000.0,0.88,0.9,1.05,0.0
1991-06-06,119.26,119.35,119.35,118.17,266.0,160000.0,1.0,1.0,1.18,0.0
1991-06-07,120.46,120.47,120.47,119.35,100.0,83000.0,0.94,0.94,1.12,0.0
1991-06-10,121.65,121.67,121.67,120.47,400.0,458000.0,1.0,1.0,1.2,0.0
1991-06-11,122.89,122.89,122.89,121.67,543.0,375000.0,1.0,1.0,1.22,0.0
1991-06-12,123.9,124.11,124.11,122.89,1372.0,735000.0,0.99,0.99,1.22,0.0
1991-06-13,125.33,125.34,125.34,123.65,20868.0,11563000.0,1.36,0.99,1.23,0.0
1991-06-14,124.47,124.53,126.34,124.47,6633.0,3541000.0,1.49,-0.65,-0.81,0.0
1991-06-17,125.63,125.77,125.77,123.54,6933.0,4056000.0,1.79,1.0,1.24,0.0
1991-06-18,127.03,127.03,127.03,126.67,2030.0,1015000.0,0.29,1.0,1.26,0.0
1991-06-19,128.12,128.29,128.29,127.03,1481.0,744000.0,0.99,0.99,1.26,0.0
1991-06-20,129.55,129.57,129.57,129.21,2299.0,1321000.0,0.28,1.0,1.28,0.0
1991-06-21,130.72,130.86,130.86,128.81,13613.0,7746000.0,1.58,1.0,1.29,0.0
1991-06-24,132.1,132.17,132.17,131.8,1960.0,1657000.0,0.28,1.0,1.31,0.0
1991-06-25,133.48,133.49,133.49,132.17,1624.0,1296000.0,1.0,1.0,1.32,0.0
1991-06-26,134.83,134.83,134.83,133.49,3409.0,2149000.0,1.0,1.0,1.34,0.0
1991-06-27,136.04,136.19,136.19,134.83,4497.0,2521000.0,1.01,1.01,1.36,0.0
1991-06-28,137.41,137.56,137.56,136.19,4935.0,3032000.0,1.01,1.01,1.37,0.0
1991-07-01,136.64,136.85,138.62,136.56,22940.0,12469000.0,1.5,-0.52,-0.71,0.0
1991-07-02,135.91,135.96,135.96,135.69,2838.0,3794000.0,0.2,-0.65,-0.89,0.0
1991-07-03,135.28,135.27,135.96,134.98,2715.0,1818000.0,0.72,-0.51,-0.69,0.0
1991-07-04,136.63,136.63,136.63,134.19,13394.0,8095000.0,1.8,1.01,1.36,0.0
1991-07-05,136.01,135.96,137.68,135.9,14540.0,9394000.0,1.3,-0.49,-0.67,0.0
1991-07-08,135.26,135.28,135.28,134.93,5874.0,2925000.0,0.26,-0.5,-0.68,0.0
1991-07-09,136.56,134.64,136.57,134.31,8442.0,4174000.0,1.67,-0.47,-0.64,0.0
1991-07-10,134.4,133.99,135.6,133.72,6023.0,2894000.0,1.4,-0.48,-0.65,0.0
1991-07-11,133.22,133.38,133.99,133.13,5073.0,2417000.0,0.64,-0.46,-0.61,0.0
1991-07-12,132.8,132.8,133.38,132.42,3144.0,1484000.0,0.72,-0.43,-0.58,0.0
1991-07-15,133.9,133.14,134.1,131.87,11938.0,5534000.0,1.68,0.26,0.34,0.0
1991-07-16,134.39,134.47,134.47,133.14,2796.0,1328000.0,1.0,1.0,1.33,0.0
1991-07-17,135.81,135.81,135.81,135.39,660.0,397000.0,0.31,1.0,1.34,0.0
1991-07-18,137.17,137.17,137.17,135.81,847.0,464000.0,1.0,1.0,1.36,0.0
1991-07-19,137.66,136.7,138.54,136.66,10823.0,5242000.0,1.37,-0.34,-0.47,0.0
1991-07-22,138.07,138.07,138.07,136.7,2764.0,1423000.0,1.0,1.0,1.37,0.0
1991-07-23,139.35,139.39,139.39,138.07,7241.0,3548000.0,0.96,0.96,1.32,0.0
1991-07-24,140.66,140.68,140.74,138.69,5988.0,2901000.0,1.47,0.93,1.29,0.0
1991-07-25,140.2,140.19,141.01,139.99,8390.0,4080000.0,0.73,-0.35,-0.49,0.0
1991-07-26,140.11,140.66,141.46,139.27,9279.0,4520000.0,1.56,0.34,0.47,0.0
1991-07-29,141.22,141.52,141.72,140.81,4771.0,2350000.0,0.65,0.61,0.86,0.0
1991-07-30,142.39,142.39,142.45,141.39,5601.0,2718000.0,0.75,0.61,0.87,0.0
1991-07-31,143.72,143.8,143.8,142.39,4051.0,1993000.0,0.99,0.99,1.41,0.0
1991-08-01,145.12,145.24,145.24,143.8,4731.0,2310000.0,1.0,1.0,1.44,0.0
1991-08-02,146.49,146.68,146.68,145.44,11744.0,5825000.0,0.85,0.99,1.44,0.0
1991-08-05,148.06,148.15,148.15,146.68,5126.0,2593000.0,1.0,1.0,1.47,0.0
1991-08-06,149.62,149.62,149.62,148.15,2001.0,1065000.0,0.99,0.99,1.47,0.0
1991-08-07,150.93,151.12,151.12,149.62,1107.0,580000.0,1.0,1.0,1.5,0.0
1991-08-08,152.57,152.61,152.61,151.12,1951.0,1045000.0,0.99,0.99,1.49,0.0
1991-08-09,153.9,154.1,154.1,152.61,3715.0,1990000.0,0.98,0.98,1.49,0.0
1991-08-12,155.34,155.54,155.54,154.1,3919.0,2154000.0,0.93,0.93,1.44,0.0
1991-08-13,156.87,157.07,157.07,155.54,20039.0,10529000.0,0.98,0.98,1.53,0.0
1991-08-14,158.3,158.63,158.63,158.11,5480.0,2929000.0,0.33,0.99,1.56,0.0
1991-08-15,159.92,160.21,160.21,158.63,1537.0,850000.0,1.0,1.0,1.58,0.0
1991-08-16,161.56,161.6,161.6,160.21,984.0,581000.0,0.87,0.87,1.39,0.0
1991-08-19,163.21,163.21,163.21,161.6,985.0,614000.0,1.0,1.0,1.61,0.0
1991-08-20,164.74,164.84,164.84,163.21,573.0,388000.0,1.0,1.0,1.63,0.0
1991-08-21,166.49,166.49,166.49,164.84,3411.0,2106000.0,1.0,1.0,1.65,0.0
1991-08-22,167.81,168.16,168.16,166.49,1296.0,845000.0,1.0,1.0,1.67,0.0
1991-08-23,169.81,169.81,169.81,168.16,605.0,502000.0,0.98,0.98,1.65,0.0
1991-08-26,171.51,171.51,171.51,169.81,643.0,518000.0,1.0,1.0,1.7,0.0
1991-08-27,173.06,173.19,173.19,171.51,796.0,520000.0,0.98,0.98,1.68,0.0
1991-08-28,174.82,174.92,174.92,173.19,804.0,511000.0,1.0,1.0,1.73,0.0
1991-08-29,176.53,176.66,176.66,174.92,2608.0,1629000.0,0.99,0.99,1.74,0.0
1991-08-30,178.2,178.43,178.43,176.66,6759.0,4219000.0,1.0,1.0,1.77,0.0
1991-09-02,180.08,180.22,180.22,178.43,1408.0,886000.0,1.0,1.0,1.79,0.0
1991-09-03,181.71,181.97,181.97,180.22,1475.0,940000.0,0.97,0.97,1.75,0.0
1991-09-04,183.66,183.69,183.69,181.97,650.0,470000.0,0.95,0.95,1.72,0.0
1991-09-05,185.48,185.51,185.51,183.69,1514.0,1095000.0,0.99,0.99,1.82,0.0
1991-09-06,187.09,187.36,187.36,185.51,2765.0,1761000.0,1.0,1.0,1.85,0.0
1991-09-09,189.1,189.24,189.24,187.36,3552.0,2349000.0,1.0,1.0,1.88,0.0
1991-09-10,190.98,188.33,190.98,188.19,33434.0,21507000.0,1.47,-0.48,-0.91,0.0
